Area,Kernel L,Kernel W,Groove L,Species
15.26,5.763,3.312,5.22,1
14.88,5.554,3.333,4.956,1
14.29,5.291,3.337,4.825,1
13.84,5.324,3.379,4.805,1
16.14,5.658,3.562,5.175,1
14.38,5.386,3.312,4.956,1
14.69,5.563,3.259,5.219,1
14.11,5.42,3.302,5,1
16.63,6.053,3.465,5.877,1
16.44,5.884,3.505,5.533,1
15.26,5.714,3.242,5.314,1
14.03,5.438,3.201,5.001,1
13.89,5.439,3.199,4.738,1
13.78,5.479,3.156,4.872,1
13.74,5.482,3.114,4.825,1
14.59,5.351,3.333,4.781,1
13.99,5.119,3.383,4.781,1
15.69,5.527,3.514,5.046,1
14.7,5.205,3.466,4.649,1
12.72,5.226,3.049,4.914,1
14.16,5.658,3.129,5.176,1
14.11,5.52,3.168,5.219,1
15.88,5.618,3.507,5.091,1
12.08,5.099,2.936,4.961,1
15.01,5.789,3.245,5.001,1
16.19,5.833,3.421,5.307,1
13.02,5.395,3.026,4.825,1
12.74,5.395,2.956,4.869,1
14.11,5.541,3.221,5.038,1
13.45,5.516,3.065,5.097,1
13.16,5.454,2.975,5.056,1
15.49,5.757,3.371,5.228,1
14.09,5.717,3.186,5.299,1
13.94,5.585,3.15,5.012,1
15.05,5.712,3.328,5.36,1
16.12,5.709,3.485,5.443,1
16.2,5.826,3.464,5.527,1
17.08,5.832,3.683,5.484,1
14.8,5.656,3.288,5.309,1
14.28,5.397,3.298,5.001,1
13.54,5.348,3.156,5.178,1
13.5,5.351,3.158,5.176,1
13.16,5.138,3.201,4.783,1
15.5,5.877,3.396,5.528,1
15.11,5.579,3.462,5.18,1
13.8,5.376,3.155,4.961,1
15.36,5.701,3.393,5.132,1
14.99,5.57,3.377,5.175,1
14.79,5.545,3.291,5.111,1
14.86,5.678,3.258,5.351,1
14.43,5.585,3.272,5.144,1
15.78,5.674,3.434,5.136,1
14.49,5.715,3.113,5.396,1
14.33,5.504,3.199,5.224,1
14.52,5.741,3.113,5.487,1
15.03,5.702,3.212,5.439,1
14.46,5.388,3.377,5.044,1
14.92,5.384,3.412,5.088,1
15.38,5.662,3.419,5.222,1
12.11,5.159,3.032,4.519,1
11.42,5.008,2.85,4.607,1
11.23,4.902,2.879,4.703,1
12.36,5.076,3.042,4.605,1
13.22,5.395,3.07,5.088,1
12.78,5.262,3.026,4.782,1
12.88,5.139,3.119,4.607,1
14.34,5.63,3.19,5.15,1
14.01,5.609,3.158,5.132,1
14.37,5.569,3.153,5.3,1
12.73,5.412,2.882,5.067,1
17.63,6.191,3.561,6.06,2
16.84,5.998,3.484,5.877,2
17.26,5.978,3.594,5.791,2
19.11,6.154,3.93,6.079,2
16.82,6.017,3.486,5.841,2
16.77,5.927,3.438,5.795,2
17.32,6.064,3.403,5.922,2
20.71,6.579,3.814,6.451,2
18.94,6.445,3.639,6.362,2
17.12,5.85,3.566,5.746,2
16.53,5.875,3.467,5.88,2
18.72,6.006,3.857,5.879,2
20.2,6.285,3.864,6.187,2
19.57,6.384,3.772,6.273,2
19.51,6.366,3.801,6.185,2
18.27,6.173,3.651,6.197,2
18.88,6.084,3.764,6.109,2
18.98,6.549,3.67,6.498,2
21.18,6.573,4.033,6.231,2
20.88,6.45,4.032,6.321,2
20.1,6.581,3.785,6.449,2
18.76,6.172,3.796,6.053,2
18.81,6.272,3.693,6.053,2
18.59,6.037,3.86,5.877,2
18.36,6.666,3.485,6.448,2
16.87,6.139,3.463,5.967,2
19.31,6.341,3.81,6.238,2
18.98,6.449,3.552,6.453,2
18.17,6.271,3.512,6.273,2
18.72,6.219,3.684,6.097,2
16.41,5.718,3.525,5.618,2
17.99,5.89,3.694,5.837,2
19.46,6.113,3.892,6.009,2
19.18,6.369,3.681,6.229,2
18.95,6.248,3.755,6.148,2
18.83,6.037,3.786,5.879,2
18.85,6.152,3.806,6.2,2
17.63,6.033,3.573,5.929,2
19.94,6.675,3.763,6.55,2
18.55,6.153,3.674,5.894,2
18.45,6.107,3.769,5.794,2
19.38,6.303,3.791,5.965,2
19.13,6.183,3.902,5.924,2
19.14,6.259,3.737,6.053,2
20.97,6.563,3.991,6.316,2
19.06,6.416,3.719,6.163,2
18.96,6.051,3.897,5.75,2
19.15,6.245,3.815,6.185,2
18.89,6.227,3.769,5.966,2
20.03,6.493,3.857,6.32,2
20.24,6.315,3.962,6.188,2
18.14,6.059,3.563,6.011,2
16.17,5.762,3.387,5.703,2
18.43,5.98,3.771,5.905,2
15.99,5.363,3.582,5.144,2
18.75,6.111,3.869,5.992,2
18.65,6.285,3.594,6.102,2
17.98,5.979,3.687,5.919,2
20.16,6.513,3.773,6.185,2
17.55,5.791,3.69,5.661,2
18.3,5.979,3.755,5.962,2
18.94,6.144,3.825,5.949,2
15.38,5.884,3.268,5.795,2
16.16,5.845,3.395,5.795,2
15.56,5.776,3.408,5.847,2
15.38,5.477,3.465,5.439,2
17.36,6.145,3.574,5.971,2
15.57,5.92,3.231,5.879,2
15.6,5.832,3.286,5.752,2
16.23,5.872,3.472,5.922,2
13.07,5.472,2.994,5.395,3
13.32,5.541,3.073,5.44,3
13.34,5.389,3.074,5.307,3
12.22,5.224,2.967,5.221,3
11.82,5.314,2.777,5.178,3
11.21,5.279,2.687,5.275,3
11.43,5.176,2.719,5.132,3
12.49,5.267,2.967,5.002,3
12.7,5.386,2.911,5.316,3
10.79,5.317,2.648,5.194,3
11.83,5.263,2.84,5.307,3
12.01,5.405,2.776,5.27,3
12.26,5.408,2.833,5.36,3
11.18,5.22,2.693,5.001,3
11.36,5.175,2.755,5.263,3
11.19,5.25,2.675,5.219,3
11.34,5.053,2.849,5.003,3
12.13,5.394,2.745,5.22,3
11.75,5.444,2.678,5.31,3
11.49,5.304,2.695,5.31,3
12.54,5.451,2.879,5.491,3
12.02,5.35,2.81,5.308,3
12.05,5.267,2.847,5.046,3
12.55,5.333,2.968,5.176,3
11.14,5.011,2.794,5.049,3
12.1,5.105,2.941,5.056,3
12.44,5.319,2.897,5.27,3
12.15,5.417,2.837,5.338,3
11.35,5.176,2.668,5.132,3
11.24,5.09,2.715,5.088,3
11.02,5.325,2.701,5.163,3
11.55,5.167,2.845,4.956,3
11.27,5.088,2.763,5,3
11.4,5.136,2.763,5.089,3
10.83,5.278,2.641,5.185,3
10.8,4.981,2.821,5.063,3
11.26,5.186,2.71,5.092,3
10.74,5.145,2.642,4.963,3
11.48,5.18,2.758,5.002,3
12.21,5.357,2.893,5.178,3
11.41,5.09,2.775,4.825,3
12.46,5.236,3.017,5.147,3
12.19,5.24,2.909,5.158,3
11.65,5.108,2.85,5.135,3
12.89,5.495,3.026,5.316,3
11.56,5.363,2.683,5.182,3
11.81,5.413,2.716,5.352,3
10.91,5.088,2.675,4.956,3
11.23,5.089,2.821,4.957,3
10.59,4.899,2.787,4.794,3
10.93,5.046,2.717,5.045,3
11.27,5.091,2.804,5.001,3
11.87,5.132,2.953,5.132,3
10.82,5.18,2.63,5.089,3
12.11,5.236,2.975,5.012,3
12.8,5.16,3.126,4.914,3
12.79,5.224,3.054,4.958,3
13.37,5.32,3.128,5.091,3
12.62,5.41,2.911,5.231,3
12.76,5.073,3.155,4.83,3
12.38,5.219,2.989,5.045,3
12.67,4.984,3.135,4.745,3
11.18,5.009,2.81,4.828,3
12.7,5.183,3.091,5,3
12.37,5.204,2.96,5.001,3
12.19,5.137,2.981,4.87,3
11.23,5.14,2.795,5.003,3
13.2,5.236,3.232,5.056,3
11.84,5.175,2.836,5.044,3
12.3,5.243,2.974,5.063,3
